1,58,2,1,0,0,0,0,0,1
2,18,2,1,0,2,1,1,0,1
3,34,2,1,1,0,1,1,0,1
4,65,2,1,0,1,1,0,1,1
5,43,2,1,0,1,1,1,0,1
6,66,2,1,0,1,1,1,1,0
7,40,2,1,1,1,0,1,1,1
8,57,2,1,1,1,1,0,0,1
9,2,2,1,0,2,1,1,1,1
10,63,2,1,0,0,0,0,0,1
11,35,2,1,0,2,1,1,1,1
12,11,2,1,0,2,1,1,0,1
13,5,2,1,0,1,0,0,0,1
14,52,2,1,0,1,0,1,0,1
15,19,2,1,0,0,0,0,0,1
16,16,2,1,1,1,1,1,0,1
17,28,2,1,0,1,0,0,0,0
18,38,2,1,0,1,0,1,0,1
19,41,2,1,1,2,1,1,1,1
20,36,2,1,0,1,1,1,0,1
21,62,2,1,0,2,1,1,0,1
22,14,2,1,0,2,1,1,1,1
23,8,2,1,0,1,1,1,0,1
24,50,2,1,1,1,1,1,1,1
25,55,2,1,0,1,1,1,0,1
26,49,2,1,0,2,1,1,1,1
27,24,2,0,0,0,0,0,0,0
28,70,2,1,0,1,1,1,0,1
29,51,2,1,0,1,0,0,0,1
30,37,2,1,0,1,0,0,0,1
31,20,2,1,1,1,1,1,0,1
32,3,2,0,0,1,0,0,0,0
33,67,2,1,1,1,0,1,0,1
34,10,2,1,0,1,1,1,0,1
35,69,2,1,1,2,1,0,1,1
36,31,2,1,1,1,0,1,0,1
37,72,2,1,1,1,0,1,0,1
38,33,5,1,0,1,1,1,0,1
39,32,5,1,0,1,0,0,0,1
40,20,5,1,0,2,1,1,1,1
41,30,5,0,0,1,0,1,0,0
42,65,5,1,0,1,1,1,0,1
43,29,5,1,1,1,1,2,1,1
44,52,5,1,0,1,0,1,0,1
45,64,5,1,1,1,1,1,1,1
46,55,5,1,1,1,1,1,0,1
47,37,5,1,0,2,1,1,0,1
48,49,5,1,0,2,1,1,1,1
49,1,5,1,1,1,1,1,0,1
50,41,5,1,1,1,1,1,0,2
51,67,5,1,1,1,0,1,1,2
52,12,5,0,0,1,1,0,0,0
53,9,5,1,0,1,1,1,1,1
54,8,5,1,0,0,0,0,0,0
55,70,5,1,0,1,0,1,1,2
56,40,5,1,0,1,0,0,0,1
57,62,5,1,1,0,0,1,0,1
58,43,5,1,0,1,0,1,0,0
59,61,5,1,1,1,1,1,0,1
60,42,5,1,0,0,1,2,0,1
61,54,5,1,0,0,0,0,0,1
62,31,5,1,0,1,0,1,0,1
63,63,5,0,0,0,0,0,0,1
64,36,5,1,0,0,0,1,0,1
65,66,5,1,0,1,1,1,1,1
66,3,5,1,0,1,0,1,1,1
67,17,5,1,0,1,1,0,0,1
68,11,5,1,1,1,1,1,0,1
69,57,5,1,0,1,0,1,1,1
70,2,5,1,0,1,0,1,0,1
71,7,5,1,0,2,0,0,0,1
72,5,5,1,0,1,0,1,0,1
73,35,5,1,0,0,0,1,0,1
74,72,5,1,0,1,0,1,1,1
75,53,5,1,0,2,1,1,1,1
76,38,5,1,1,1,1,0,0,1
77,18,5,1,0,1,0,1,0,1
78,23,2,1,0,0,0,1,0,1
79,8,2,1,0,1,0,1,1,1
80,5,2,1,1,1,0,1,0,1
81,36,2,1,0,1,1,1,0,1
82,29,2,1,1,2,1,1,1,1
83,37,2,1,1,1,0,1,0,1
